ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560
213987_s_at,5.96648,6.30621,6.15082,6.12825,6.4382
213988_s_at,11.722,11.756,11.6677,11.242,11.1001
213989_x_at,7.51064,8.20562,7.11601,7.53338,7.54969
213990_s_at,6.00209,5.46571,5.78844,6.17563,5.97817
213991_s_at,4.9628,5.25871,5.10738,5.14461,5.21394
213992_at,5.3611,5.35772,6.88421,5.44222,4.7103
213993_at,7.90867,6.34786,8.77376,7.47057,7.275
213994_s_at,8.04745,7.37627,9.32113,8.31211,7.8306
213995_at,8.34975,8.28802,7.06705,7.92022,7.95879
213996_at,5.59753,6.37575,6.23723,7.23684,6.97016
213997_at,4.75856,4.84371,5.24955,4.50748,4.81546
213998_s_at,6.37321,6.719,6.00841,5.79909,5.12716
213999_at,5.3112,5.63744,5.62975,5.64547,5.61212
214000_s_at,4.61402,4.35602,4.59882,4.69439,5.86379
214001_x_at,6.88378,7.09224,7.25748,7.51604,7.96293
214002_at,7.51219,7.92234,8.38303,7.48173,7.35281
214003_x_at,14.1628,14.25,14.2585,14.1408,14.2822
214004_s_at,9.35364,9.6221,9.9623,8.54316,8.54316
214005_at,7.20684,9.26657,6.816,8.64701,10.2831
214006_s_at,7.20987,8.27356,6.4849,7.73269,9.25812
214007_s_at,7.78622,5.48298,5.89666,5.28245,4.37793
214008_at,4.56075,4.13602,3.92103,4.18898,4.20913
214009_at,6.06729,6.10596,6.38536,6.93185,6.8232
214010_s_at,7.79494,7.98985,7.66446,7.27084,7.36194
214011_s_at,9.65517,8.98657,8.67315,8.99496,9.16904
214012_at,7.2332,5.18541,6.22951,5.96425,6.12576
214013_s_at,4.68116,4.6261,4.86623,4.49441,4.46328
214014_at,7.02132,5.67978,7.04201,6.8811,6.40954
214015_at,5.62509,5.27434,5.29557,5.34172,5.25994
214016_s_at,9.52998,10.6938,10.8857,10.4959,10.3111
214017_s_at,6.96726,7.30864,7.23038,6.76203,7.39606
214018_at,4.5235,4.46781,4.42223,4.76412,4.49327
214019_at,5.72468,5.80524,5.45479,5.5295,5.34784
214020_x_at,9.20356,8.76937,9.74187,9.12623,9.68493
214021_x_at,6.36249,4.9809,5.30391,5.24248,6.96793
214022_s_at,11.0618,11.368,12.1708,12.5707,12.0426
214023_x_at,4.60853,5.00794,5.88806,6.46466,6.59626
214024_s_at,5.73466,5.8783,5.97847,5.92012,6.05442
214025_at,6.05408,6.12636,5.75414,5.42419,5.82373
214026_s_at,3.94843,4.13755,3.95483,3.96786,3.98763
214027_x_at,8.57331,8.30538,9.46117,8.11592,7.99263
214028_x_at,6.78676,6.63304,6.67688,6.99367,6.63495
214029_at,4.4151,4.16409,4.26751,4.51538,4.2148
214030_at,8.33563,8.26173,8.40395,8.51122,8.48472
214031_s_at,5.05128,5.62859,4.96197,5.26282,5.43859
214032_at,7.09509,7.40325,8.86596,7.15504,6.70258
214033_at,8.87607,10.6111,7.81992,10.6443,10.0123
214034_at,3.92817,3.98978,4.07726,3.64631,3.88858
214035_x_at,9.94634,10.9843,11.8823,10.5935,10.1991
214036_at,9.44384,8.04251,7.85458,8.76507,8.41442
214037_s_at,6.90409,7.11311,6.77906,7.17518,6.96559
214038_at,5.47684,5.44502,5.78872,7.0397,6.74306
214039_s_at,12.244,13.8843,11.8156,13.7637,13.9772
214040_s_at,8.23862,7.51097,7.38677,6.21079,6.55027
214041_x_at,9.13478,9.32522,8.74372,8.74721,9.35895
214042_s_at,10.9725,11.3345,11.702,11.2773,11.2334
214043_at,4.81536,5.42752,8.06907,7.13345,6.802
214044_at,4.64421,4.5828,5.65173,4.65557,4.4671
214045_at,6.65422,7.27549,5.61528,7.11166,7.07935
214046_at,3.94862,3.71617,3.38749,4.26769,5.86139
214047_s_at,10.1095,9.00819,8.21297,9.37784,9.61979
214048_at,7.44365,5.97696,6.41396,6.47721,6.53076
214049_x_at,6.66601,7.53821,7.47405,6.64572,6.65196
214050_at,5.75911,5.81966,5.7554,5.77819,5.6891
214051_at,6.61535,6.0794,6.95969,8.27484,7.12892
214052_x_at,5.46016,5.52249,5.99038,6.88408,7.53015
214053_at,4.37839,4.28672,4.39884,7.6471,5.05921
214054_at,7.39415,7.99111,8.06758,7.04597,8.07973
214055_x_at,10.5316,9.79133,10.0931,9.52033,10.6584
214056_at,7.10594,6.99891,7.4797,8.14966,7.79126
214057_at,7.08258,7.11403,7.26452,7.80936,7.63441
214058_at,7.12154,7.20723,6.30046,7.77636,7.5456
214059_at,5.79597,6.07143,7.56712,5.80873,7.50006
214060_at,5.99665,5.84593,5.98247,6.54872,6.33931
214061_at,4.94625,6.23875,5.70264,6.34008,7.13687
214062_x_at,7.89209,7.68365,7.52983,7.79139,7.56908
214063_s_at,5.60511,5.70596,5.44728,5.62376,6.53279
214064_at,6.82707,6.87788,6.57467,6.62386,6.42407
214065_s_at,5.65902,5.69879,5.82661,5.707,5.54969
214066_x_at,7.03747,6.48526,7.56613,6.68924,6.56841
214067_at,5.47192,5.36798,5.11854,5.41716,5.20231
214068_at,4.76781,5.0751,6.46656,5.73778,6.46249
214069_at,5.4838,5.20222,5.54941,5.33708,5.73454
214070_s_at,9.82296,7.0588,6.64502,9.73171,6.99478
214071_at,4.56408,4.35973,6.01965,5.10195,5.04436
214072_x_at,7.04765,7.32292,7.21099,7.1723,7.24245
214073_at,6.84259,8.54372,5.77351,7.94209,7.74678
214074_s_at,6.92358,7.79218,6.12771,7.16134,7.23533
214075_at,8.01099,8.29851,8.49883,8.82696,9.05573
214076_at,8.03709,7.86424,7.71599,7.77909,7.80808
214077_x_at,9.00408,9.12539,8.77439,9.13368,8.52814
214078_at,5.04885,4.60805,5.14886,5.31649,4.13457
214079_at,4.06381,6.61622,3.7426,4.91304,4.82172
214080_x_at,10.3755,10.9364,11.0153,9.91365,10.292
214081_at,5.9652,6.04747,8.28903,6.34106,6.74471
214082_at,6.35863,6.02942,6.9353,6.54627,6.0885
214083_at,8.09822,7.84702,7.14215,7.7481,8.16606
214084_x_at,6.41601,6.68409,7.76439,7.7878,8.00435
214085_x_at,8.8338,8.53561,8.86929,8.42489,8.35413
214086_s_at,7.11131,7.54131,7.30816,7.53742,8.22737
214087_s_at,4.91712,4.7364,4.65986,5.91765,4.61915
214088_s_at,10.0574,7.96627,6.39867,8.0906,7.78826
214089_at,4.55932,4.78014,4.16727,5.14728,5.14044
214090_at,4.14907,4.1825,3.98348,4.23866,4.18189
214091_s_at,13.4484,11.1852,12.6482,10.474,9.93078
214092_x_at,7.5215,7.65702,8.50646,8.00596,8.37228
214093_s_at,7.57425,8.30916,8.4791,8.23584,8.27716
214094_at,5.23827,5.55927,5.46588,5.21927,5.28441
214095_at,6.72515,6.80136,6.76417,7.0781,7.78425
214096_s_at,9.9254,10.2154,10.1079,9.68939,10.4729
214097_at,8.10378,7.90285,8.14537,8.22811,9.37679
214098_at,6.61777,5.96062,5.43026,7.10609,6.56866
214099_s_at,6.44541,6.1991,6.67376,6.74817,6.55171
214100_x_at,8.20775,8.95965,10.1328,9.85213,9.09219
